"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/f72903c9-6bbe-5376-aa3e-92392efa1980","http://www.politifact.com/texas/statements/2013/aug/02/dan-patrick/dan-patrick-says-2014-15-state-budget-cut-border-s/","Dan Patrick","Says the 2014-15 state budget 'cut border security and funding to fight criminal gangs.'","Dan Patrick says the 2014-15 state budget “cut border security and funding to fight criminal gangs.""""","Crime,State Budget",2013-06-27
"http://data.gesis.org/claimskg/creative_work/fa4f64f7-b761-5db5-8d99-662a27d0f0d7","http://www.politifact.com/texas/statements/2017/feb/10/dawn-buckingham/dawn-buckingham-incorrectly-says-hundreds-illegal-/","Dawn Buckingham","'Hundreds of illegal immigrants subject to detainers were released in the last week since the new sanctuary policy was adopted by the Travis County Sheriff's Office.'","Dawn Buckingham incorrectly says hundreds of illegal immigrants released by Travis County","Crime,Criminal Justice",2017-02-08
"http://data.gesis.org/claimskg/creative_work/fc1dc015-8611-5302-ae59-122a4380911b","http://www.politifact.com/facebook-fact-checks/statements/2019/feb/27/facebook-posts/no-undocumented-immigrants-dont-get-medicare-free/","Facebook posts","Undocumented immigrants get Medicare for free.","No, undocumented immigrants don't get Medicare for free","Medicare",2019-01-31
"http://data.gesis.org/claimskg/creative_work/855853fd-b7ed-5cc9-9c57-19ee5b9d5b7e","http://www.politifact.com/truth-o-meter/statements/2019/jan/11/donald-trump/donald-trump-falsely-says-theres-never-been-so-man/","Donald Trump","Says there’s 'never (been) so many apprehensions ever in our history.'","Donald Trump falsely says there's 'never' been so many border apprehensions","Homeland Security",2019-01-10
"http://data.gesis.org/claimskg/creative_work/6db18674-d607-51d2-85b4-0294fbf29772","http://www.politifact.com/facebook-fact-checks/statements/2018/nov/30/puppetstringnewscom/no-there-no-evidence-vatican-funding-migrant-carav/","PuppetStringNews.com","'Evidence surfaces of Vatican funding caravans targeting America with cash.'","No, there is no evidence that Vatican is funding migrant caravans","Homeland Security,Fake news",2018-11-25
"http://data.gesis.org/claimskg/creative_work/401b813a-83da-51df-befc-5a43edbc9b8e","http://www.politifact.com/punditfact/statements/2015/jul/16/hans-von-spakovsky/heritage-analyst-obama-administration-released-134/","Hans von Spakovsky","'134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.'","Heritage analyst: Obama administration released 134,000 criminal aliens","Crime",2015-07-09
"http://data.gesis.org/claimskg/creative_work/4448e01f-2dfd-5c3f-a463-22953f66e584","http://www.politifact.com/punditfact/statements/2015/jun/24/ann-coulter/ann-coulters-pants-fire-claim-sc-gov-nikki-haley-i/","Ann Coulter","Says South Carolina Gov. Nikki Haley 'is an immigrant.'","Ann Coulter's Pants on Fire claim that S.C. Gov. Nikki Haley 'is an immigrant'","History,Candidate Biography",2015-06-24
"http://data.gesis.org/claimskg/creative_work/0ced1bdc-2cca-5cfb-a677-cc0125d0f6d2","http://www.politifact.com/truth-o-meter/statements/2014/jun/19/nancy-pelosi/are-there-immigrants-2014-us-mens-world-cup-team/","Nancy Pelosi","Says 11 soccer players on the U.S. Men’s National Team are immigrants.","Are there immigrants on the 2014 U.S. Men's World Cup team?","Sports",2014-06-17
"http://data.gesis.org/claimskg/creative_work/74d3390a-e03f-5389-a264-1b5c4c37ac7e","http://www.politifact.com/punditfact/statements/2018/jun/13/newsflash/website-misleads-about-arrests-sanctuary-cit/","Newsflash","'Trump’s DHS secretary confirms they are preparing to arrest sanctuary city leaders.'","Website misleads about arrests of sanctuary city elected officials","Homeland Security,Fake news",2018-06-13
"http://data.gesis.org/claimskg/creative_work/8dde8475-8558-5234-b317-ac4a9e4bc9c5","http://www.politifact.com/florida/statements/2010/jul/19/bill-mccollum/rick-scott-playboy-connection/","Bill McCollum","'Rick Scott's company is partners with Playboy in a social networking website that has community pages specifically geared towards gay dating.'","The Rick Scott-Playboy-gay dating website connection","Gays and Lesbians,Corporations,Candidate Biography",2010-07-15
"http://data.gesis.org/claimskg/creative_work/36dcbdc1-a2e9-55d0-acca-787f5e3f1b05","http://www.politifact.com/truth-o-meter/statements/2015/jul/06/donald-trump/trump-immigration-claim-has-no-data-back-it/","Donald Trump","'Hundreds of thousands of (illegal immigrants are) going to state and federal penitentiaries.'","Trump immigration claim has no data to back it up","Crime",2015-07-01
"http://data.gesis.org/claimskg/creative_work/1ce6abe6-46af-5218-a81d-4303689b69c8","http://www.politifact.com/texas/statements/2015/mar/03/greg-abbott/already-year-greg-abbott-says-over-20000-immigrant/","Greg Abbott","'Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.'","Already this year, Greg Abbott says, over 20,000 immigrants caught after crossing border into U.S.","Crime,Criminal Justice",2015-02-22
